total_imports_exports_and_balance_trade,year,trade_type,value_million_usd
Western Asia,2019-01-01,imports,956874
Western Asia,2020-01-01,imports,868366
Western Asia,2021-01-01,imports,1070016
Western Asia,1995-01-01,exports,154177
Western Asia,2005-01-01,exports,557564
Western Asia,2010-01-01,exports,919156
Western Asia,2015-01-01,exports,976785
Western Asia,2019-01-01,exports,1199173
Western Asia,2020-01-01,exports,969076
Western Asia,2021-01-01,exports,1413972
Western Asia,1995-01-01,balance_import_export,-1159
Western Asia,2005-01-01,balance_import_export,150158
Western Asia,2010-01-01,balance_import_export,169907
Western Asia,2015-01-01,balance_import_export,23105
Western Asia,2019-01-01,balance_import_export,242299
Western Asia,2020-01-01,balance_import_export,100710
Western Asia,2021-01-01,balance_import_export,343955
Europe,1995-01-01,imports,2228669
Europe,2005-01-01,imports,4439990
Europe,2010-01-01,imports,5868691
Europe,2015-01-01,imports,5730577
Europe,2019-01-01,imports,6748055
Europe,2020-01-01,imports,6309121
Europe,2021-01-01,imports,7768375
Europe,1995-01-01,exports,2320042
Europe,2005-01-01,exports,4527059
Europe,2010-01-01,exports,5904975
Europe,2015-01-01,exports,6090837
Europe,2019-01-01,exports,6958358
Europe,2020-01-01,exports,6451753
Europe,2021-01-01,exports,7923044
Europe,1995-01-01,balance_import_export,91373
Europe,2005-01-01,balance_import_export,87068
Europe,2010-01-01,balance_import_export,36284
Europe,2015-01-01,balance_import_export,360260
Europe,2019-01-01,balance_import_export,210302
Europe,2020-01-01,balance_import_export,142632
Europe,2021-01-01,balance_import_export,154669
Eastern Europe,1995-01-01,imports,161835
Eastern Europe,2005-01-01,imports,490657
Eastern Europe,2010-01-01,imports,868649
Eastern Europe,2015-01-01,imports,847926
Eastern Europe,2019-01-01,imports,1121849
Eastern Europe,2020-01-01,imports,1075128
Eastern Europe,2021-01-01,imports,1369875
Eastern Europe,1995-01-01,exports,176871
Eastern Europe,2005-01-01,exports,594285
Eastern Europe,2010-01-01,exports,994605
Eastern Europe,2015-01-01,exports,1023967
Eastern Europe,2019-01-01,exports,1286686
Eastern Europe,2020-01-01,exports,1174097
Eastern Europe,2021-01-01,exports,1534414
Eastern Europe,1995-01-01,balance_import_export,15036
Eastern Europe,2005-01-01,balance_import_export,103628
Eastern Europe,2010-01-01,balance_import_export,125955
Eastern Europe,2015-01-01,balance_import_export,176042
Eastern Europe,2019-01-01,balance_import_export,164838
Eastern Europe,2020-01-01,balance_import_export,98970
Eastern Europe,2021-01-01,balance_import_export,164539
Northern Europe,1995-01-01,imports,470870
Northern Europe,2005-01-01,imports,937990
Northern Europe,2010-01-01,imports,1122240
Northern Europe,2015-01-01,imports,1132508
Northern Europe,2019-01-01,imports,1290425
Northern Europe,2020-01-01,imports,1204297
Northern Europe,2021-01-01,imports,1400669
Northern Europe,1995-01-01,exports,494552
Northern Europe,2005-01-01,exports,913599
Northern Europe,2010-01-01,exports,1045978
Northern Europe,2015-01-01,exports,1045828
Northern Europe,2019-01-01,exports,1158003
Northern Europe,2020-01-01,exports,1061261
Northern Europe,2021-01-01,exports,1310306
Northern Europe,1995-01-01,balance_import_export,23682
Northern Europe,2005-01-01,balance_import_export,-24391
Northern Europe,2010-01-01,balance_import_export,-76262
Northern Europe,2015-01-01,balance_import_export,-86680
Northern Europe,2019-01-01,balance_import_export,-132422
Northern Europe,2020-01-01,balance_import_export,-143035
Northern Europe,2021-01-01,balance_import_export,-90363
Southern Europe,1995-01-01,imports,400631
Southern Europe,2005-01-01,imports,861881
Southern Europe,2010-01-01,imports,1039442
Southern Europe,2015-01-01,imports,925163
Southern Europe,2019-01-01,imports,1143324
Southern Europe,2020-01-01,imports,1019566
Southern Europe,2021-01-01,imports,1325795
Southern Europe,1995-01-01,exports,372435
Southern Europe,2005-01-01,exports,660817
Southern Europe,2010-01-01,exports,830354
Southern Europe,2015-01-01,exports,886303
Southern Europe,2019-01-01,exports,1075622
Southern Europe,2020-01-01,exports,1000265
Southern Europe,2021-01-01,exports,1234638
Southern Europe,1995-01-01,balance_import_export,-28196
Southern Europe,2005-01-01,balance_import_export,-201064
Southern Europe,2010-01-01,balance_import_export,-209088
Southern Europe,2015-01-01,balance_import_export,-38860
Southern Europe,2019-01-01,balance_import_export,-67702
Southern Europe,2020-01-01,balance_import_export,-19301
Southern Europe,2021-01-01,balance_import_export,-91157
Western Europe,1995-01-01,imports,1195333
Western Europe,2005-01-01,imports,2149462
Western Europe,2010-01-01,imports,2838360
Western Europe,2015-01-01,imports,2824980
Western Europe,2019-01-01,imports,3192457
Western Europe,2020-01-01,imports,3010130
Western Europe,2021-01-01,imports,3672036
Western Europe,1995-01-01,exports,1276184
Western Europe,2005-01-01,exports,2358357
Western Europe,2010-01-01,exports,3034038
Western Europe,2015-01-01,exports,3134738
Western Europe,2019-01-01,exports,3438046
Western Europe,2020-01-01,exports,3216130
Western Europe,2021-01-01,exports,3843686
Western Europe,1995-01-01,balance_import_export,80851
Western Europe,2005-01-01,balance_import_export,208895
Western Europe,2010-01-01,balance_import_export,195679
Western Europe,2015-01-01,balance_import_export,309758
