total_imports_exports_and_balance_trade,year,trade_type,value_million_usd
India,2015-01-01,balance_import_export,-126364
India,2019-01-01,balance_import_export,-155633
India,2020-01-01,balance_import_export,-92492
India,2021-01-01,balance_import_export,-175588
Indonesia,1995-01-01,imports,40629
Indonesia,2005-01-01,imports,57701
Indonesia,2010-01-01,imports,135663
Indonesia,2015-01-01,imports,142695
Indonesia,2019-01-01,imports,171276
Indonesia,2020-01-01,imports,141569
Indonesia,2021-01-01,imports,196190
Indonesia,1995-01-01,exports,45418
Indonesia,2005-01-01,exports,85660
Indonesia,2010-01-01,exports,157779
Indonesia,2015-01-01,exports,150366
Indonesia,2019-01-01,exports,167683
Indonesia,2020-01-01,exports,163192
Indonesia,2021-01-01,exports,231522
Indonesia,1995-01-01,balance_import_export,4789
Indonesia,2005-01-01,balance_import_export,27959
Indonesia,2010-01-01,balance_import_export,22116
Indonesia,2015-01-01,balance_import_export,7671
Indonesia,2019-01-01,balance_import_export,-3593
Indonesia,2020-01-01,balance_import_export,21623
Indonesia,2021-01-01,balance_import_export,35333
Iran (Islamic Republic of),1995-01-01,imports,13882
Iran (Islamic Republic of),2005-01-01,imports,38869
Iran (Islamic Republic of),2010-01-01,imports,54697
Iran (Islamic Republic of),2015-01-01,imports,40037
Iran (Islamic Republic of),2019-01-01,imports,25981
Iran (Islamic Republic of),2020-01-01,imports,20828
Iran (Islamic Republic of),2021-01-01,imports,23030
Iran (Islamic Republic of),1995-01-01,exports,18360
Iran (Islamic Republic of),2005-01-01,exports,60012
Iran (Islamic Republic of),2010-01-01,exports,83785
Iran (Islamic Republic of),2015-01-01,exports,60041
Iran (Islamic Republic of),2019-01-01,exports,40483
Iran (Islamic Republic of),2020-01-01,exports,14278
Iran (Islamic Republic of),2021-01-01,exports,17204
Iran (Islamic Republic of),1995-01-01,balance_import_export,4478
Iran (Islamic Republic of),2005-01-01,balance_import_export,21143
Iran (Islamic Republic of),2010-01-01,balance_import_export,29088
Iran (Islamic Republic of),2015-01-01,balance_import_export,20003
Iran (Islamic Republic of),2019-01-01,balance_import_export,14503
Iran (Islamic Republic of),2020-01-01,balance_import_export,-6550
Iran (Islamic Republic of),2021-01-01,balance_import_export,-5826
Iraq,1995-01-01,imports,445
Iraq,2005-01-01,imports,12861
Iraq,2010-01-01,imports,43915
Iraq,2015-01-01,imports,32667
Iraq,2019-01-01,imports,39288
Iraq,2020-01-01,imports,36231
Iraq,2021-01-01,imports,41008
Iraq,1995-01-01,exports,555
Iraq,2005-01-01,exports,19773
Iraq,2010-01-01,exports,52483
Iraq,2015-01-01,exports,49403
Iraq,2019-01-01,exports,86042
Iraq,2020-01-01,exports,59248
Iraq,2021-01-01,exports,80611
Iraq,1995-01-01,balance_import_export,110
Iraq,2005-01-01,balance_import_export,6912
Iraq,2010-01-01,balance_import_export,8568
Iraq,2015-01-01,balance_import_export,16736
Iraq,2019-01-01,balance_import_export,46754
Iraq,2020-01-01,balance_import_export,23018
Iraq,2021-01-01,balance_import_export,39602
Ireland,1995-01-01,imports,32321
Ireland,2005-01-01,imports,70284
Ireland,2010-01-01,imports,64601
Ireland,2015-01-01,imports,77795
Ireland,2019-01-01,imports,101473
Ireland,2020-01-01,imports,98389
Ireland,2021-01-01,imports,117334
Ireland,1995-01-01,exports,43789
Ireland,2005-01-01,exports,110003
Ireland,2010-01-01,exports,120645
Ireland,2015-01-01,exports,124731
Ireland,2019-01-01,exports,170743
Ireland,2020-01-01,exports,184131
Ireland,2021-01-01,exports,194264
Ireland,1995-01-01,balance_import_export,11468
Ireland,2005-01-01,balance_import_export,39719
Ireland,2010-01-01,balance_import_export,56045
Ireland,2015-01-01,balance_import_export,46935
Ireland,2019-01-01,balance_import_export,69270
Ireland,2020-01-01,balance_import_export,85742
Ireland,2021-01-01,balance_import_export,76930
Israel,1995-01-01,imports,28328
Israel,2005-01-01,imports,45032
Israel,2010-01-01,imports,59194
Israel,2015-01-01,imports,62068
Israel,2019-01-01,imports,76579
Israel,2020-01-01,imports,69261
Israel,2021-01-01,imports,92148
Israel,1995-01-01,exports,19046
Israel,2005-01-01,exports,42771
Israel,2010-01-01,exports,58413
Israel,2015-01-01,exports,64062
Israel,2019-01-01,exports,58488
Israel,2020-01-01,exports,50153
Israel,2021-01-01,exports,60157
Israel,1995-01-01,balance_import_export,-9282
Israel,2005-01-01,balance_import_export,-2262
Israel,2010-01-01,balance_import_export,-781
Israel,2015-01-01,balance_import_export,1994
Israel,2019-01-01,balance_import_export,-18090
Israel,2020-01-01,balance_import_export,-19107
Israel,2021-01-01,balance_import_export,-31991
Italy,1995-01-01,imports,200320
Italy,2005-01-01,imports,384836
Italy,2010-01-01,imports,486984
Italy,2015-01-01,imports,410933
Italy,2019-01-01,imports,474957
Italy,2020-01-01,imports,426476
Italy,2021-01-01,imports,557228
Italy,1995-01-01,exports,230441
Italy,2005-01-01,exports,372957
Italy,2010-01-01,exports,446840
Italy,2015-01-01,exports,456989
Italy,2019-01-01,exports,537748
Italy,2020-01-01,exports,498804
Italy,2021-01-01,exports,601663
Italy,1995-01-01,balance_import_export,30122
Italy,2005-01-01,balance_import_export,-11878
Italy,2010-01-01,balance_import_export,-40145
Italy,2015-01-01,balance_import_export,46055
Italy,2019-01-01,balance_import_export,62791
Italy,2020-01-01,balance_import_export,72328
Italy,2021-01-01,balance_import_export,44435
Jamaica,1995-01-01,imports,2773
Jamaica,2005-01-01,imports,4885
Jamaica,2010-01-01,imports,5225
Jamaica,2015-01-01,imports,4993
Jamaica,2019-01-01,imports,6389
Jamaica,2020-01-01,imports,4698
Jamaica,2021-01-01,imports,5420
Jamaica,1995-01-01,exports,1424
Jamaica,2005-01-01,exports,1514
Jamaica,2010-01-01,exports,1328
Jamaica,2015-01-01,exports,1263
Jamaica,2019-01-01,exports,1651
Jamaica,2020-01-01,exports,1218
Jamaica,2021-01-01,exports,1381
Jamaica,1995-01-01,balance_import_export,-1349
Jamaica,2005-01-01,balance_import_export,-3370
Jamaica,2010-01-01,balance_import_export,-3898
Jamaica,2015-01-01,balance_import_export,-3730
Jamaica,2019-01-01,balance_import_export,-4738
Jamaica,2020-01-01,balance_import_export,-3479
Jamaica,2021-01-01,balance_import_export,-4039
Japan,1995-01-01,imports,336094
Japan,2005-01-01,imports,515866
Japan,2010-01-01,imports,694059
Japan,2015-01-01,imports,625568
Japan,2019-01-01,imports,721077
Japan,2020-01-01,imports,635402
Japan,2021-01-01,imports,772276
Japan,1995-01-01,exports,442937
Japan,2005-01-01,exports,594941
Japan,2010-01-01,exports,769774
Japan,2015-01-01,exports,624874
Japan,2019-01-01,exports,705671
Japan,2020-01-01,exports,641283
Japan,2021-01-01,exports,757066
Japan,1995-01-01,balance_import_export,106843
Japan,2005-01-01,balance_import_export,79074
Japan,2010-01-01,balance_import_export,75715
Japan,2015-01-01,balance_import_export,-695
Japan,2019-01-01,balance_import_export,-15406
Japan,2020-01-01,balance_import_export,5880
Japan,2021-01-01,balance_import_export,-15210
Jordan,1995-01-01,imports,3696
Jordan,2005-01-01,imports,10455
Jordan,2010-01-01,imports,15262
Jordan,2015-01-01,imports,20475
Jordan,2019-01-01,imports,19337
Jordan,2020-01-01,imports,17007
Jordan,2021-01-01,imports,19246
Jordan,1995-01-01,exports,1769
Jordan,2005-01-01,exports,4284
Jordan,2010-01-01,exports,7023
Jordan,2015-01-01,exports,7833
Jordan,2019-01-01,exports,8313
Jordan,2020-01-01,exports,7943
Jordan,2021-01-01,exports,15353
Jordan,1995-01-01,balance_import_export,-1928
Jordan,2005-01-01,balance_import_export,-6170
Jordan,2010-01-01,balance_import_export,-8239
Jordan,2015-01-01,balance_import_export,-12642
Jordan,2019-01-01,balance_import_export,-11024
Jordan,2020-01-01,balance_import_export,-9064
Jordan,2021-01-01,balance_import_export,-3893
Kazakhstan,1995-01-01,imports,3805
Kazakhstan,2005-01-01,imports,17333
Kazakhstan,2010-01-01,imports,24024
Kazakhstan,2015-01-01,imports,30567
Kazakhstan,2019-01-01,imports,38357
Kazakhstan,2020-01-01,imports,38081
Kazakhstan,2021-01-01,imports,42355
Kazakhstan,1995-01-01,exports,5227
Kazakhstan,2005-01-01,exports,27846
Kazakhstan,2010-01-01,exports,57244
Kazakhstan,2015-01-01,exports,45954
Kazakhstan,2019-01-01,exports,57723
Kazakhstan,2020-01-01,exports,46949
Kazakhstan,2021-01-01,exports,62621
Kazakhstan,1995-01-01,balance_import_export,1422
Kazakhstan,2005-01-01,balance_import_export,10513
Kazakhstan,2010-01-01,balance_import_export,33220
Kazakhstan,2015-01-01,balance_import_export,15387
Kazakhstan,2019-01-01,balance_import_export,19366
Kazakhstan,2020-01-01,balance_import_export,8868
Kazakhstan,2021-01-01,balance_import_export,20266
Kenya,1995-01-01,imports,2818
Kenya,2005-01-01,imports,5846
Kenya,2010-01-01,imports,12093
Kenya,2015-01-01,imports,16058
Kenya,2019-01-01,imports,17210
Kenya,2020-01-01,imports,15405
Kenya,2021-01-01,imports,19594
Kenya,1995-01-01,exports,1826
Kenya,2005-01-01,exports,3420
Kenya,2010-01-01,exports,5169
Kenya,2015-01-01,exports,5907
Kenya,2019-01-01,exports,5836
Kenya,2020-01-01,exports,6023
Kenya,2021-01-01,exports,6751
Kenya,1995-01-01,balance_import_export,-992
Kenya,2005-01-01,balance_import_export,-2426
Kenya,2010-01-01,balance_import_export,-6924
Kenya,2015-01-01,balance_import_export,-10151
Kenya,2019-01-01,balance_import_export,-11374
Kenya,2020-01-01,balance_import_export,-9382
Kenya,2021-01-01,balance_import_export,-12843
Kiribati,1995-01-01,imports,34
Kiribati,2005-01-01,imports,74
Kiribati,2010-01-01,imports,73
Kiribati,2015-01-01,imports,111
Kiribati,2019-01-01,imports,104
Kiribati,2020-01-01,imports,109
Kiribati,2021-01-01,imports,147
Kiribati,1995-01-01,exports,7
Kiribati,2005-01-01,exports,4
Kiribati,2010-01-01,exports,4
Kiribati,2015-01-01,exports,10
Kiribati,2019-01-01,exports,11
Kiribati,2020-01-01,exports,9
Kiribati,2021-01-01,exports,13
Kiribati,1995-01-01,balance_import_export,-27
Kiribati,2005-01-01,balance_import_export,-70
Kiribati,2010-01-01,balance_import_export,-69
Kiribati,2015-01-01,balance_import_export,-101
Kiribati,2019-01-01,balance_import_export,-94
Kiribati,2020-01-01,balance_import_export,-100
Kiribati,2021-01-01,balance_import_export,-134
Kuwait,1995-01-01,imports,7790
Kuwait,2005-01-01,imports,15801
Kuwait,2010-01-01,imports,22691
Kuwait,2015-01-01,imports,30957
Kuwait,2019-01-01,imports,33531
Kuwait,2020-01-01,imports,28344
Kuwait,2021-01-01,imports,34301
Kuwait,1995-01-01,exports,12944
Kuwait,2005-01-01,exports,44869
Kuwait,2010-01-01,exports,62698
Kuwait,2015-01-01,exports,54121
Kuwait,2019-01-01,exports,64482
Kuwait,2020-01-01,exports,40166
Kuwait,2021-01-01,exports,83720
Kuwait,1995-01-01,balance_import_export,5155
Kuwait,2005-01-01,balance_import_export,29068
Kuwait,2010-01-01,balance_import_export,40007
Kuwait,2015-01-01,balance_import_export,23164
Kuwait,2019-01-01,balance_import_export,30951
Kuwait,2020-01-01,balance_import_export,11822
Kuwait,2021-01-01,balance_import_export,49418
Kyrgyzstan,1995-01-01,imports,522
Kyrgyzstan,2005-01-01,imports,1108
Kyrgyzstan,2010-01-01,imports,3223
Kyrgyzstan,2015-01-01,imports,4068
Kyrgyzstan,2019-01-01,imports,4989
Kyrgyzstan,2020-01-01,imports,3387
Kyrgyzstan,2021-01-01,imports,5448
Kyrgyzstan,1995-01-01,exports,412
Kyrgyzstan,2005-01-01,exports,672
Kyrgyzstan,2010-01-01,exports,1488
Kyrgyzstan,2015-01-01,exports,1441
Kyrgyzstan,2019-01-01,exports,1986
Kyrgyzstan,2020-01-01,exports,1864
Kyrgyzstan,2021-01-01,exports,1688
Kyrgyzstan,1995-01-01,balance_import_export,-110
Kyrgyzstan,2005-01-01,balance_import_export,-436
Kyrgyzstan,2010-01-01,balance_import_export,-1734
Kyrgyzstan,2015-01-01,balance_import_export,-2627
Kyrgyzstan,2019-01-01,balance_import_export,-3003
Kyrgyzstan,2020-01-01,balance_import_export,-1523
Kyrgyzstan,2021-01-01,balance_import_export,-3760
Lao People's Dem. Rep.,1995-01-01,imports,588
Lao People's Dem. Rep.,2005-01-01,imports,874
Lao People's Dem. Rep.,2010-01-01,imports,1837
Lao People's Dem. Rep.,2015-01-01,imports,3778
Lao People's Dem. Rep.,2019-01-01,imports,5797
Lao People's Dem. Rep.,2020-01-01,imports,5014
Lao People's Dem. Rep.,2021-01-01,imports,5658
Lao People's Dem. Rep.,1995-01-01,exports,311
Lao People's Dem. Rep.,2005-01-01,exports,552
Lao People's Dem. Rep.,2010-01-01,exports,1909
Lao People's Dem. Rep.,2015-01-01,exports,2985
Lao People's Dem. Rep.,2019-01-01,exports,5809
Lao People's Dem. Rep.,2020-01-01,exports,5087
Lao People's Dem. Rep.,2021-01-01,exports,6228
Lao People's Dem. Rep.,1995-01-01,balance_import_export,-277
Lao People's Dem. Rep.,2005-01-01,balance_import_export,-322
Lao People's Dem. Rep.,2010-01-01,balance_import_export,72
Lao People's Dem. Rep.,2015-01-01,balance_import_export,-793
Lao People's Dem. Rep.,2019-01-01,balance_import_export,12
Lao People's Dem. Rep.,2020-01-01,balance_import_export,73
Lao People's Dem. Rep.,2021-01-01,balance_import_export,571
Latvia,1995-01-01,imports,1818
Latvia,2005-01-01,imports,8770
Latvia,2010-01-01,imports,11143
Latvia,2015-01-01,imports,14096
Latvia,2019-01-01,imports,17768
Latvia,2020-01-01,imports,17315
Latvia,2021-01-01,imports,23086
Latvia,1995-01-01,exports,1305
Latvia,2005-01-01,exports,5303
Latvia,2010-01-01,exports,8851
Latvia,2015-01-01,exports,11650
Latvia,2019-01-01,exports,14447
Latvia,2020-01-01,exports,15197
Latvia,2021-01-01,exports,19448
Latvia,1995-01-01,balance_import_export,-513
Latvia,2005-01-01,balance_import_export,-3468
Latvia,2010-01-01,balance_import_export,-2292
Latvia,2015-01-01,balance_import_export,-2446
Latvia,2019-01-01,balance_import_export,-3320
Latvia,2020-01-01,balance_import_export,-2119
Latvia,2021-01-01,balance_import_export,-3638
Lebanon,1995-01-01,imports,7295
Lebanon,2005-01-01,imports,9327
Lebanon,2010-01-01,imports,17970
Lebanon,2015-01-01,imports,18600
Lebanon,2019-01-01,imports,19239
Lebanon,2020-01-01,imports,11355
Lebanon,2021-01-01,imports,13857
Lebanon,1995-01-01,exports,826
Lebanon,2005-01-01,exports,1879
Lebanon,2010-01-01,exports,4254
Lebanon,2015-01-01,exports,2953
Lebanon,2019-01-01,exports,3731
Lebanon,2020-01-01,exports,3807
Lebanon,2021-01-01,exports,4230
Lebanon,1995-01-01,balance_import_export,-6469
Lebanon,2005-01-01,balance_import_export,-7448
Lebanon,2010-01-01,balance_import_export,-13716
Lebanon,2015-01-01,balance_import_export,-15646
Lebanon,2019-01-01,balance_import_export,-15508
Lebanon,2020-01-01,balance_import_export,-7547
Lebanon,2021-01-01,balance_import_export,-9627
Lesotho,2005-01-01,imports,1410
Lesotho,2010-01-01,imports,1277
Lesotho,2015-01-01,imports,1410
Lesotho,2019-01-01,imports,1364
Lesotho,2020-01-01,imports,1494
Lesotho,2021-01-01,imports,1659
Lesotho,2005-01-01,exports,650
Lesotho,2010-01-01,exports,503
Lesotho,2015-01-01,exports,604
Lesotho,2019-01-01,exports,646
Lesotho,2020-01-01,exports,833
Lesotho,2021-01-01,exports,955
Lesotho,2005-01-01,balance_import_export,-760
Lesotho,2010-01-01,balance_import_export,-773
Lesotho,2015-01-01,balance_import_export,-806
Lesotho,2019-01-01,balance_import_export,-718
Lesotho,2020-01-01,balance_import_export,-661
Lesotho,2021-01-01,balance_import_export,-705
Liberia,1995-01-01,imports,358
Liberia,2005-01-01,imports,309
Liberia,2010-01-01,imports,710
Liberia,2015-01-01,imports,901
Liberia,2019-01-01,imports,2185
Liberia,2020-01-01,imports,2387
Liberia,2021-01-01,imports,2698
Liberia,1995-01-01,exports,452
Liberia,2005-01-01,exports,130
Liberia,2010-01-01,exports,222
Liberia,2015-01-01,exports,627
Liberia,2019-01-01,exports,363
Liberia,2020-01-01,exports,280
Liberia,2021-01-01,exports,459
Liberia,1995-01-01,balance_import_export,94
Liberia,2005-01-01,balance_import_export,-179
Liberia,2010-01-01,balance_import_export,-488
Liberia,2015-01-01,balance_import_export,-273
Liberia,2019-01-01,balance_import_export,-1822
Liberia,2020-01-01,balance_import_export,-2108
Liberia,2021-01-01,balance_import_export,-2239
Libya,1995-01-01,imports,4912
Libya,2005-01-01,imports,6058
Libya,2010-01-01,imports,17674
Libya,2015-01-01,imports,13000
Libya,2019-01-01,imports,15636
Libya,2020-01-01,imports,12736
Libya,2021-01-01,imports,17631
Libya,1995-01-01,exports,9363
Libya,2005-01-01,exports,31272
Libya,2010-01-01,exports,36440
Libya,2015-01-01,exports,10200
Libya,2019-01-01,exports,32494
Libya,2020-01-01,exports,10893
Libya,2021-01-01,exports,40977
Libya,1995-01-01,balance_import_export,4451
Libya,2005-01-01,balance_import_export,25215
Libya,2010-01-01,balance_import_export,18766
Libya,2015-01-01,balance_import_export,-2800
Libya,2019-01-01,balance_import_export,16858
Libya,2020-01-01,balance_import_export,-1843
Libya,2021-01-01,balance_import_export,23346
Lithuania,1995-01-01,imports,3649
Lithuania,2005-01-01,imports,15704
Lithuania,2010-01-01,imports,23378
Lithuania,2015-01-01,imports,28176
Lithuania,2019-01-01,imports,35759
Lithuania,2020-01-01,imports,33344
Lithuania,2021-01-01,imports,44550
Lithuania,1995-01-01,exports,2706
Lithuania,2005-01-01,exports,12070
Lithuania,2010-01-01,exports,20814
Lithuania,2015-01-01,exports,25411
Lithuania,2019-01-01,exports,33151
Lithuania,2020-01-01,exports,32838
Lithuania,2021-01-01,exports,40814
Lithuania,1995-01-01,balance_import_export,-943
Lithuania,2005-01-01,balance_import_export,-3634
Lithuania,2010-01-01,balance_import_export,-2564
Lithuania,2015-01-01,balance_import_export,-2765
Lithuania,2019-01-01,balance_import_export,-2609
Lithuania,2020-01-01,balance_import_export,-507
Lithuania,2021-01-01,balance_import_export,-3736
Luxembourg,2005-01-01,imports,17586
Luxembourg,2010-01-01,imports,20400
Luxembourg,2015-01-01,imports,19296
Luxembourg,2019-01-01,imports,22674
Luxembourg,2020-01-01,imports,20883
Luxembourg,2021-01-01,imports,25537
Luxembourg,2005-01-01,exports,12715
Luxembourg,2010-01-01,exports,13911
Luxembourg,2015-01-01,exports,12626
Luxembourg,2019-01-01,exports,14667
Luxembourg,2020-01-01,exports,13506
Luxembourg,2021-01-01,exports,16247
Luxembourg,2005-01-01,balance_import_export,-4871
Luxembourg,2010-01-01,balance_import_export,-6489
Luxembourg,2015-01-01,balance_import_export,-6671
Luxembourg,2019-01-01,balance_import_export,-8006
Luxembourg,2020-01-01,balance_import_export,-7377
Luxembourg,2021-01-01,balance_import_export,-9290
Madagascar,1995-01-01,imports,550
Madagascar,2005-01-01,imports,1686
Madagascar,2010-01-01,imports,2546
Madagascar,2015-01-01,imports,2961
Madagascar,2019-01-01,imports,3603
Madagascar,2020-01-01,imports,3228
Madagascar,2021-01-01,imports,4176
Madagascar,1995-01-01,exports,360
Madagascar,2005-01-01,exports,836
Madagascar,2010-01-01,exports,1082
Madagascar,2015-01-01,exports,2164
Madagascar,2019-01-01,exports,2689
Madagascar,2020-01-01,exports,1960
Madagascar,2021-01-01,exports,2578
Madagascar,1995-01-01,balance_import_export,-190
Madagascar,2005-01-01,balance_import_export,-850
Madagascar,2010-01-01,balance_import_export,-1464
Madagascar,2015-01-01,balance_import_export,-796
Madagascar,2019-01-01,balance_import_export,-914
Madagascar,2020-01-01,balance_import_export,-1269
Madagascar,2021-01-01,balance_import_export,-1598
Malawi,1995-01-01,imports,500
Malawi,2005-01-01,imports,1165
Malawi,2010-01-01,imports,2173
Malawi,2015-01-01,imports,2312
Malawi,2019-01-01,imports,2941
Malawi,2020-01-01,imports,2726
Malawi,2021-01-01,imports,3241
Malawi,1995-01-01,exports,433
Malawi,2005-01-01,exports,495
Malawi,2010-01-01,exports,1066
Malawi,2015-01-01,exports,1080
Malawi,2019-01-01,exports,913
Malawi,2020-01-01,exports,781
Malawi,2021-01-01,exports,954
Malawi,1995-01-01,balance_import_export,-67
Malawi,2005-01-01,balance_import_export,-670
Malawi,2010-01-01,balance_import_export,-1107
Malawi,2015-01-01,balance_import_export,-1232
Malawi,2019-01-01,balance_import_export,-2028
Malawi,2020-01-01,balance_import_export,-1945
Malawi,2021-01-01,balance_import_export,-2287
Malaysia,1995-01-01,imports,77046
Malaysia,2005-01-01,imports,114290
Malaysia,2010-01-01,imports,164586
Malaysia,2015-01-01,imports,176175
Malaysia,2019-01-01,imports,205030
Malaysia,2020-01-01,imports,190405
Malaysia,2021-01-01,imports,238250
Malaysia,1995-01-01,exports,73778
Malaysia,2005-01-01,exports,141624
Malaysia,2010-01-01,exports,198791
Malaysia,2015-01-01,exports,200211
Malaysia,2019-01-01,exports,240212
Malaysia,2020-01-01,exports,234050
Malaysia,2021-01-01,exports,299230
Malaysia,1995-01-01,balance_import_export,-3267
Malaysia,2005-01-01,balance_import_export,27334
Malaysia,2010-01-01,balance_import_export,34204
Malaysia,2015-01-01,balance_import_export,24036
Malaysia,2019-01-01,balance_import_export,35181
Malaysia,2020-01-01,balance_import_export,43646
Malaysia,2021-01-01,balance_import_export,60981
Maldives,1995-01-01,imports,268
Maldives,2005-01-01,imports,745
Maldives,2010-01-01,imports,1095
Maldives,2015-01-01,imports,1897
Maldives,2019-01-01,imports,2887
Maldives,2020-01-01,imports,1838
Maldives,2021-01-01,imports,2574
Maldives,1995-01-01,exports,50
Maldives,2005-01-01,exports,154
Maldives,2010-01-01,exports,74
Maldives,2015-01-01,exports,144
Maldives,2019-01-01,exports,158
Maldives,2020-01-01,exports,163
Maldives,2021-01-01,exports,151
Maldives,1995-01-01,balance_import_export,-218
Maldives,2005-01-01,balance_import_export,-591
Maldives,2010-01-01,balance_import_export,-1021
Maldives,2015-01-01,balance_import_export,-1753
Maldives,2019-01-01,balance_import_export,-2729
Maldives,2020-01-01,balance_import_export,-1675
Maldives,2021-01-01,balance_import_export,-2422
Mali,1995-01-01,imports,774
Mali,2005-01-01,imports,1544
Mali,2010-01-01,imports,4704
Mali,2015-01-01,imports,3169
Mali,2019-01-01,imports,5049
Mali,2020-01-01,imports,5820
Mali,2021-01-01,imports,6535
Mali,1995-01-01,exports,443
Mali,2005-01-01,exports,1075
Mali,2010-01-01,exports,1996
Mali,2015-01-01,exports,2530
Mali,2019-01-01,exports,3643
Mali,2020-01-01,exports,4147
Mali,2021-01-01,exports,4141
Mali,1995-01-01,balance_import_export,-331
Mali,2005-01-01,balance_import_export,-468
Mali,2010-01-01,balance_import_export,-2707
Mali,2015-01-01,balance_import_export,-639
Mali,2019-01-01,balance_import_export,-1405
Mali,2020-01-01,balance_import_export,-1673
Mali,2021-01-01,balance_import_export,-2394
Malta,1995-01-01,imports,2942
Malta,2005-01-01,imports,3865
Malta,2010-01-01,imports,5732
Malta,2015-01-01,imports,6788
Malta,2019-01-01,imports,8211
Malta,2020-01-01,imports,5237
Malta,2021-01-01,imports,6905
Malta,1995-01-01,exports,1913
Malta,2005-01-01,exports,2431
Malta,2010-01-01,exports,3717
Malta,2015-01-01,exports,3915
Malta,2019-01-01,exports,4143
Malta,2020-01-01,exports,2675
Malta,2021-01-01,exports,3111
Malta,1995-01-01,balance_import_export,-1029
Malta,2005-01-01,balance_import_export,-1435
Malta,2010-01-01,balance_import_export,-2015
Malta,2015-01-01,balance_import_export,-2873
Malta,2019-01-01,balance_import_export,-4068
Malta,2020-01-01,balance_import_export,-2562
Malta,2021-01-01,balance_import_export,-3794
Marshall Islands,1995-01-01,imports,75
Marshall Islands,2005-01-01,imports,68
Marshall Islands,2010-01-01,imports,76
Marshall Islands,2015-01-01,imports,84
Marshall Islands,2019-01-01,imports,12340
Marshall Islands,2020-01-01,imports,13565
Marshall Islands,2021-01-01,imports,14571
Marshall Islands,1995-01-01,exports,23
Marshall Islands,2005-01-01,exports,11
Marshall Islands,2010-01-01,exports,17
Marshall Islands,2015-01-01,exports,25
Marshall Islands,2019-01-01,exports,902
Marshall Islands,2020-01-01,exports,656
Marshall Islands,2021-01-01,exports,1247
Marshall Islands,1995-01-01,balance_import_export,-52
Marshall Islands,2005-01-01,balance_import_export,-57
Marshall Islands,2010-01-01,balance_import_export,-60
Marshall Islands,2015-01-01,balance_import_export,-59
Marshall Islands,2019-01-01,balance_import_export,-11438
Marshall Islands,2020-01-01,balance_import_export,-12908
Marshall Islands,2021-01-01,balance_import_export,-13324
Martinique,1995-01-01,imports,1970
Martinique,1995-01-01,exports,242
Martinique,1995-01-01,balance_import_export,-1728
Mauritania,1995-01-01,imports,326
Mauritania,2005-01-01,imports,1342
Mauritania,2010-01-01,imports,1708
Mauritania,2015-01-01,imports,3703
Mauritania,2019-01-01,imports,3520
Mauritania,2020-01-01,imports,2744
Mauritania,2021-01-01,imports,3335
Mauritania,1995-01-01,exports,550
Mauritania,2005-01-01,exports,556
Mauritania,2010-01-01,exports,1819
Mauritania,2015-01-01,exports,1832
Mauritania,2019-01-01,exports,2266
Mauritania,2020-01-01,exports,2829
Mauritania,2021-01-01,exports,3326
Mauritania,1995-01-01,balance_import_export,225
Mauritania,2005-01-01,balance_import_export,-786
Mauritania,2010-01-01,balance_import_export,111
Mauritania,2015-01-01,balance_import_export,-1872
Mauritania,2019-01-01,balance_import_export,-1253
Mauritania,2020-01-01,balance_import_export,85
Mauritania,2021-01-01,balance_import_export,-9
Mauritius,1995-01-01,imports,2000
Mauritius,2005-01-01,imports,3160
Mauritius,2010-01-01,imports,4402
Mauritius,2015-01-01,imports,4458
Mauritius,2019-01-01,imports,5601
Mauritius,2020-01-01,imports,4224
Mauritius,2021-01-01,imports,5147
Mauritius,1995-01-01,exports,1538
Mauritius,2005-01-01,exports,2144
Mauritius,2010-01-01,exports,1850
Mauritius,2015-01-01,exports,2481
Mauritius,2019-01-01,exports,1876
Mauritius,2020-01-01,exports,1544
Mauritius,2021-01-01,exports,1672
Mauritius,1995-01-01,balance_import_export,-462
Mauritius,2005-01-01,balance_import_export,-1016
Mauritius,2010-01-01,balance_import_export,-2553
Mauritius,2015-01-01,balance_import_export,-1977
Mauritius,2019-01-01,balance_import_export,-3725
Mauritius,2020-01-01,balance_import_export,-2680
Mauritius,2021-01-01,balance_import_export,-3476
Mayotte,2005-01-01,imports,309
Mayotte,2005-01-01,exports,6
Mayotte,2005-01-01,balance_import_export,-303
Mexico,1995-01-01,imports,72453
Mexico,2005-01-01,imports,221819
Mexico,2010-01-01,imports,301482
Mexico,2015-01-01,imports,395234
Mexico,2019-01-01,imports,455236
Mexico,2020-01-01,imports,382980
Mexico,2021-01-01,imports,506565
Mexico,1995-01-01,exports,79541
Mexico,2005-01-01,exports,214207
Mexico,2010-01-01,exports,298305
Mexico,2015-01-01,exports,380550
Mexico,2019-01-01,exports,460604
Mexico,2020-01-01,exports,416982
Mexico,2021-01-01,exports,494596
Mexico,1995-01-01,balance_import_export,7088
Mexico,2005-01-01,balance_import_export,-7612
Mexico,2010-01-01,balance_import_export,-3177
Mexico,2015-01-01,balance_import_export,-14684
Mexico,2019-01-01,balance_import_export,5368
Mexico,2020-01-01,balance_import_export,34002
Mexico,2021-01-01,balance_import_export,-11970
Micronesia (Fed. States of),1995-01-01,imports,100
Micronesia (Fed. States of),2005-01-01,imports,128
Micronesia (Fed. States of),2010-01-01,imports,168
Micronesia (Fed. States of),2015-01-01,imports,160
Micronesia (Fed. States of),2019-01-01,imports,523
