T22,"Total imports, exports and balance of trade",,,,,,,
Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
2,Africa,2015,Balance imports/exports (millions of US dollars),,,"-144,542",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
2,Africa,2019,Balance imports/exports (millions of US dollars),,,"-101,225",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
2,Africa,2020,Balance imports/exports (millions of US dollars),,,"-107,771",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
2,Africa,2021,Balance imports/exports (millions of US dollars),,,"-38,748",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
15,Northern Africa,1995,Imports CIF (millions of US dollars),,,"45,062",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
15,Northern Africa,2005,Imports CIF (millions of US dollars),,,"87,571",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
15,Northern Africa,2010,Imports CIF (millions of US dollars),,,"181,147",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
15,Northern Africa,2015,Imports CIF (millions of US dollars),,,"205,560",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
15,Northern Africa,2019,Imports CIF (millions of US dollars),,,"223,756",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
15,Northern Africa,2020,Imports CIF (millions of US dollars),,,"180,449",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
15,Northern Africa,2021,Imports CIF (millions of US dollars),,,"215,514",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
15,Northern Africa,1995,Exports FOB (millions of US dollars),,,"33,043",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
15,Northern Africa,2005,Exports FOB (millions of US dollars),,,"114,104",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
15,Northern Africa,2010,Exports FOB (millions of US dollars),,,"165,544",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
15,Northern Africa,2015,Exports FOB (millions of US dollars),,,"108,845",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
15,Northern Africa,2019,Exports FOB (millions of US dollars),,,"142,468",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
15,Northern Africa,2020,Exports FOB (millions of US dollars),,,"100,486",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
15,Northern Africa,2021,Exports FOB (millions of US dollars),,,"170,246",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
15,Northern Africa,1995,Balance imports/exports (millions of US dollars),,,"-12,019",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
