,country_code,year,paper_pulp_prod_tonnes,paper_pulp_export_tonnes,paper_pulp_import_tonnes,wood_pulp_production_tonnes,wood_pulp_export_tonnes,wood_pulp_import_tonnes,paper_price,wood_pulp_price
65,CHN,2020,18275201.0,250730.0,0.0,15000.0,182958.0,104233.0,190.98333333333335,141.64166666666668
66,CHN,2020,18275201.0,250730.0,0.0,15000.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
67,CHN,2020,18275201.0,250730.0,0.0,15000.0,21696.0,149703.0,190.98333333333335,141.64166666666668
68,CHN,2020,18275201.0,250730.0,0.0,15000.0,21696.0,104233.0,190.98333333333335,141.64166666666668
69,CHN,2020,18275201.0,250730.0,0.0,15000.0,488.0,29882525.0,190.98333333333335,141.64166666666668
70,CHN,2020,18275201.0,250730.0,0.0,15000.0,488.0,149703.0,190.98333333333335,141.64166666666668
71,CHN,2020,18275201.0,250730.0,0.0,15000.0,488.0,104233.0,190.98333333333335,141.64166666666668
72,CHN,2020,18275201.0,21889.0,26519807.0,14865201.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
73,CHN,2020,18275201.0,21889.0,26519807.0,14865201.0,182958.0,149703.0,190.98333333333335,141.64166666666668
74,CHN,2020,18275201.0,21889.0,26519807.0,14865201.0,182958.0,104233.0,190.98333333333335,141.64166666666668
75,CHN,2020,18275201.0,21889.0,26519807.0,14865201.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
76,CHN,2020,18275201.0,21889.0,26519807.0,14865201.0,21696.0,149703.0,190.98333333333335,141.64166666666668
77,CHN,2020,18275201.0,21889.0,26519807.0,14865201.0,21696.0,104233.0,190.98333333333335,141.64166666666668
78,CHN,2020,18275201.0,21889.0,26519807.0,14865201.0,488.0,29882525.0,190.98333333333335,141.64166666666668
79,CHN,2020,18275201.0,21889.0,26519807.0,14865201.0,488.0,149703.0,190.98333333333335,141.64166666666668
80,CHN,2020,18275201.0,21889.0,26519807.0,14865201.0,488.0,104233.0,190.98333333333335,141.64166666666668
81,CHN,2020,18275201.0,21889.0,26519807.0,15000.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
82,CHN,2020,18275201.0,21889.0,26519807.0,15000.0,182958.0,149703.0,190.98333333333335,141.64166666666668
83,CHN,2020,18275201.0,21889.0,26519807.0,15000.0,182958.0,104233.0,190.98333333333335,141.64166666666668
84,CHN,2020,18275201.0,21889.0,26519807.0,15000.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
85,CHN,2020,18275201.0,21889.0,26519807.0,15000.0,21696.0,149703.0,190.98333333333335,141.64166666666668
86,CHN,2020,18275201.0,21889.0,26519807.0,15000.0,21696.0,104233.0,190.98333333333335,141.64166666666668
87,CHN,2020,18275201.0,21889.0,26519807.0,15000.0,488.0,29882525.0,190.98333333333335,141.64166666666668
88,CHN,2020,18275201.0,21889.0,26519807.0,15000.0,488.0,149703.0,190.98333333333335,141.64166666666668
89,CHN,2020,18275201.0,21889.0,26519807.0,15000.0,488.0,104233.0,190.98333333333335,141.64166666666668
90,CHN,2020,18275201.0,21889.0,149752.0,14865201.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
91,CHN,2020,18275201.0,21889.0,149752.0,14865201.0,182958.0,149703.0,190.98333333333335,141.64166666666668
92,CHN,2020,18275201.0,21889.0,149752.0,14865201.0,182958.0,104233.0,190.98333333333335,141.64166666666668
93,CHN,2020,18275201.0,21889.0,149752.0,14865201.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
94,CHN,2020,18275201.0,21889.0,149752.0,14865201.0,21696.0,149703.0,190.98333333333335,141.64166666666668
95,CHN,2020,18275201.0,21889.0,149752.0,14865201.0,21696.0,104233.0,190.98333333333335,141.64166666666668
96,CHN,2020,18275201.0,21889.0,149752.0,14865201.0,488.0,29882525.0,190.98333333333335,141.64166666666668
97,CHN,2020,18275201.0,21889.0,149752.0,14865201.0,488.0,149703.0,190.98333333333335,141.64166666666668
98,CHN,2020,18275201.0,21889.0,149752.0,14865201.0,488.0,104233.0,190.98333333333335,141.64166666666668
99,CHN,2020,18275201.0,21889.0,149752.0,15000.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
100,CHN,2020,18275201.0,21889.0,149752.0,15000.0,182958.0,149703.0,190.98333333333335,141.64166666666668
101,CHN,2020,18275201.0,21889.0,149752.0,15000.0,182958.0,104233.0,190.98333333333335,141.64166666666668
102,CHN,2020,18275201.0,21889.0,149752.0,15000.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
103,CHN,2020,18275201.0,21889.0,149752.0,15000.0,21696.0,149703.0,190.98333333333335,141.64166666666668
104,CHN,2020,18275201.0,21889.0,149752.0,15000.0,21696.0,104233.0,190.98333333333335,141.64166666666668
105,CHN,2020,18275201.0,21889.0,149752.0,15000.0,488.0,29882525.0,190.98333333333335,141.64166666666668
106,CHN,2020,18275201.0,21889.0,149752.0,15000.0,488.0,149703.0,190.98333333333335,141.64166666666668
