country_code,year,paper_pulp_export_tonnes
BEL,2002,685333
BEL,2001,711820
BEL,2000,709000
BLZ,2020,185
BLZ,2019,185
BLZ,2018,818
BLZ,2017,118
BLZ,2016,868
BLZ,2015,868
BLZ,2014,868
BLZ,2013,98
BLZ,2012,98
BLZ,2011,98
BLZ,2010,98
BLZ,2009,98
BLZ,2008,198
BLZ,2007,209
BLZ,2006,1005
BLZ,2005,793
BLZ,2004,793
BLZ,2003,1943
BLZ,2002,1534
BLZ,2001,604
BLZ,2000,1868
BLZ,1999,1887
BLZ,1998,314
BLZ,1997,0
BLZ,1996,0
BLZ,1995,0
BLZ,1994,0
BLZ,1993,0
BLZ,1992,0
BEN,2020,0
BEN,2019,0
BEN,2018,0
BEN,2017,0
BEN,2016,0
BEN,2015,0
BEN,2014,0
BEN,2013,0
BEN,2012,0
BEN,2011,0
BEN,2010,0
BEN,2009,0
BEN,2008,0
BEN,2007,0
BEN,2006,0
BEN,2005,0
BEN,2004,0
BEN,2003,0
BEN,2002,0
BEN,2001,0
BEN,2000,0
BEN,1999,0
BEN,1998,21
BTN,2020,97
BTN,2019,97
BTN,2018,97
BTN,2017,97
BTN,2016,97
BTN,2015,19
BTN,2014,19
BTN,2013,19
BTN,2012,19
BTN,2011,19
BTN,2010,19
BTN,2009,19
BTN,2008,19
BTN,2007,19
BTN,2006,19
BTN,2005,19
BTN,2004,19
BTN,2003,19
BTN,2002,19
BTN,2001,19
BTN,2000,19
BTN,1999,19
BTN,1998,19
BTN,1997,19
BIH,2020,0
BIH,2019,20
BIH,2018,24
BIH,2017,1
BIH,2016,30
BIH,2015,0
BIH,2014,110
BIH,2013,0
BIH,2012,0
BIH,2011,0
BIH,2010,74
BIH,2009,0
BIH,2008,0
BIH,2007,50
BIH,2006,0
BIH,2005,0
BIH,2004,0
BIH,2003,44
BIH,2002,44
BIH,2001,44
BIH,2000,44
BIH,1999,44
BIH,1998,32
BIH,1997,24
BIH,1993,0
BIH,1992,172
BWA,2020,0
BWA,2019,0
BWA,2018,0
BWA,2017,0
BWA,2016,0
BWA,2015,0
BWA,2014,0
BWA,2013,2
BRA,2020,15950770
BRA,2019,14934588
BRA,2018,14598520
BRA,2017,13199600
BRA,2016,12905353
BRA,2015,11536621
BRA,2014,10615281
BRA,2013,9429878
BRA,2012,8513677
BRA,2011,8481373
BRA,2010,8381019
BRA,2009,8233166
BRA,2008,7051020
BRA,2007,6495259
BRA,2006,6161164
BRA,2005,5440787
BRA,2004,4888692
BRA,2003,4466352
BRA,2002,3336904
BRA,2001,3270485
BRA,2000,2916297
BRA,1999,3014100
BRA,1998,2699632
BRA,1997,2387400
BRA,1996,2171700
BRA,1995,1957905
BRA,1994,2060373
BRA,1993,2043397
BRA,1992,1678323
BRA,1991,1376800
BRA,1990,1035200
BRA,1989,1001500
BRA,1988,1062000
BRA,1987,814400
BRA,1986,879500
BRA,1985,927700
BRA,1984,975600
BRA,1983,986100
BRA,1982,824600
BRA,1981,951000
BRA,1980,890500
BRA,1979,582400
BRA,1978,267900
BRA,1977,94600
BRA,1976,140600
BRA,1975,153200
BRA,1974,133700
BRA,1973,193800
BRA,1972,140700
BRA,1971,32600
BRA,1970,39400
BRA,1969,26700
BRA,1968,12200
BRA,1967,2800
BRA,1966,6200
BRA,1965,8500
BRA,1964,3500
BRA,1963,400
BRA,1962,4100
BRA,1961,400
VGB,2020,0
VGB,2019,0
VGB,2018,0
VGB,2017,0
VGB,2016,0
VGB,2015,0
VGB,2014,0
VGB,2013,0
VGB,2012,0
VGB,2011,0
VGB,2010,0
VGB,2009,0
VGB,2008,0
VGB,2007,0
VGB,2006,0
VGB,2005,0
VGB,2004,0
VGB,2003,0
VGB,2002,0
VGB,2001,0
VGB,2000,0
VGB,1999,0
VGB,1998,0
VGB,1997,0
VGB,1996,0
VGB,1995,0
VGB,1994,0
VGB,1993,0
BRN,2020,27
BRN,2019,27
BRN,2018,27
BRN,2017,51
BRN,2016,25
BRN,2015,25
BRN,2014,25
BRN,2013,51
BRN,2012,26
BRN,2011,26
BRN,2010,26
BRN,2009,26
BRN,2008,26
BGR,2020,65732
BGR,2019,112663
BGR,2018,111792
BGR,2017,107585
BGR,2016,101991
BGR,2015,88272
BGR,2014,111317
BGR,2013,107180
BGR,2012,83033
BGR,2011,103431
BGR,2010,95602
BGR,2009,8659
BGR,2008,67846
BGR,2007,44943
BGR,2006,48160
BGR,2005,59850
BGR,2004,59850
BGR,2003,59850
BGR,2002,59850
BGR,2001,59850
BGR,2000,59850
BGR,1999,59850
BGR,1998,41900
BGR,1997,41900
BGR,1996,21900
BGR,1995,6000
BGR,1994,32400
BGR,1993,26300
BGR,1992,39917
BGR,1991,29600
BGR,1990,29600
BGR,1989,30200
BGR,1988,26600
BGR,1987,8600
BGR,1986,2400
BGR,1985,7700
BGR,1984,11700
BGR,1983,10300
BGR,1982,10900
BGR,1981,9900
BGR,1980,15200
BGR,1979,22900
BGR,1978,27100
BGR,1977,19900
BGR,1976,21300
BGR,1975,13500
BGR,1974,14800
BGR,1973,22500
BGR,1972,22500
BGR,1971,15300
BGR,1970,15600
BGR,1969,17400
BGR,1968,10100
BFA,2020,49
BFA,2019,49
BFA,2018,49
BFA,2017,49
BFA,2016,49
BFA,2015,49
BFA,2014,71
BFA,2013,49
BFA,2012,49
BFA,2011,49
BFA,2010,49
BDI,2020,104
BDI,2019,104
BDI,2018,18
BDI,2017,18
BDI,2016,18
BDI,2015,18
BDI,2014,18
BDI,2013,18
BDI,2012,18
KHM,2020,25
KHM,2019,25
KHM,2018,25
KHM,2017,25
KHM,2016,25
KHM,2015,25
KHM,2014,25
KHM,2013,111
KHM,2012,111
KHM,2011,111
KHM,2010,111
KHM,2009,111
KHM,2008,111
KHM,2007,111
KHM,2006,25
CAN,2020,8670247
CAN,2019,9238588
CAN,2018,9266688
CAN,2017,9506995
CAN,2016,9505633
CAN,2015,9396036
CAN,2014,9055183
CAN,2013,9109889
CAN,2012,9233045
CAN,2011,9159166
CAN,2010,8990866
CAN,2009,8009587
CAN,2008,9343000
CAN,2007,10356000
CAN,2006,10727000
CAN,2005,10538000
CAN,2004,11380276
CAN,2003,11392421
CAN,2002,11944000
CAN,2001,11069000
CAN,2000,11652744
CAN,1999,11448204
CAN,1998,10423900
CAN,1997,10873300
CAN,1996,10135000
CAN,1995,10518000
CAN,1994,10274700
CAN,1993,9146000
CAN,1992,8702300
CAN,1991,8571300
CAN,1990,7651900
CAN,1989,8017100
CAN,1988,8228900
CAN,1987,8028100
CAN,1986,7405900
CAN,1985,6850800
CAN,1984,6858400
CAN,1983,6646100
CAN,1982,5948800
CAN,1981,6530700
CAN,1980,7009700
CAN,1979,6856300
CAN,1978,6428100
CAN,1977,5961600
CAN,1976,5967500
CAN,1975,4860100
CAN,1974,6181500
CAN,1973,5704000
CAN,1972,5253000
CAN,1971,4829000
CAN,1970,4761500
CAN,1969,4915600
CAN,1968,4176300
CAN,1967,206500
CAN,1966,230300
CAN,1965,287800
CAN,1964,262500
CAN,1963,228200
CAN,1962,238500
CAN,1961,217300
CYM,2020,0
CYM,2019,0
CYM,2018,0
CYM,2017,0
CYM,2016,0
CYM,2015,0
CYM,2014,0
CYM,2013,0
CYM,2012,0
CYM,2011,0
CYM,2010,0
CYM,2009,0
CYM,2008,0
CYM,2007,0
CYM,2006,0
CYM,2005,0
CYM,2004,0
CYM,2003,0
CYM,2002,0
CYM,2001,0
CYM,2000,0
CYM,1999,0
CYM,1998,0
CYM,1997,0
CYM,1996,0
CYM,1995,0
CYM,1994,0
CYM,1993,0
CAF,2020,1
CAF,2019,1
CAF,2018,1
CAF,2017,1
CAF,2016,1
CAF,2015,1
CAF,2014,1
CAF,2013,1
CAF,2012,1
CAF,2011,1
CAF,2010,1
CAF,2009,1
CAF,2008,1
CAF,2007,1
CAF,2006,1
CAF,2005,1
CAF,2004,1
CAF,2003,1
CAF,2002,0
CAF,2001,0
CAF,2000,0
CAF,1999,0
CAF,1998,0
CAF,1997,0
CAF,1996,0
CAF,1995,0
CAF,1994,0
CAF,1993,0
TCD,2020,0
TCD,2019,0
TCD,2018,0
TCD,2017,0
TCD,2016,0
TCD,2015,0
TCD,2014,0
TCD,2013,0
TCD,2012,0
TCD,2011,0
TCD,2010,0
TCD,2009,248
TCD,2008,248
TCD,2007,248
TCD,2006,248
TCD,2005,248
TCD,2004,248
TCD,2003,248
TCD,2002,248
TCD,2001,248
TCD,2000,248
TCD,1999,248
TCD,1998,248
TCD,1997,248
CHL,2020,4246477
CHL,2019,4709090
CHL,2018,4687609
CHL,2017,4491837
CHL,2016,4652467
CHL,2015,4418843
CHL,2014,4670306
CHL,2013,4556299
CHL,2012,4325315
CHL,2011,4025375
CHL,2010,3381000
CHL,2009,4311585
CHL,2008,4063000
CHL,2007,3859000
CHL,2006,2649984
CHL,2005,2616000
CHL,2004,2545000
CHL,2003,2110000
CHL,2002,2152000
CHL,2001,2173000
CHL,2000,1835000
CHL,1999,1905000
CHL,1998,1745000
CHL,1997,1575500
CHL,1996,1655200
CHL,1995,1625300
CHL,1994,1585200
CHL,1993,1479146
CHL,1992,1321857
CHL,1991,664200
CHL,1990,581100
CHL,1989,493700
CHL,1988,479100
CHL,1987,526500
CHL,1986,562000
CHL,1985,503000
CHL,1984,492600
CHL,1983,523700
CHL,1982,458800
CHL,1981,321400
CHL,1980,415600
CHL,1979,431900
CHL,1978,437700
CHL,1977,338800
CHL,1976,236700
CHL,1975,174400
CHL,1974,180000
CHL,1973,102000
CHL,1972,120800
CHL,1971,109300
CHL,1970,105300
CHL,1969,121200
CHL,1968,118200
CHN,2020,250730
CHN,2019,198181
CHN,2018,241765
CHN,2017,295241
CHN,2016,232702
CHN,2015,167441
CHN,2014,140319
CHN,2013,122642
CHN,2012,108906
CHN,2011,111852
CHN,2010,123091
CHN,2009,94804
CHN,2008,92918
CHN,2007,155820
CHN,2006,113799
CHN,2005,66687
CHN,2004,46253
CHN,2003,48275
CHN,2002,41299
CHN,2001,38487
CHN,2000,54720
CHN,1999,42699
CHN,1998,22300
CHN,1997,36108
CHN,1996,26500
CHN,1995,56900
CHN,1994,24313
CHN,1993,24346
CHN,1992,62431
CHN,1991,29900
CHN,1990,101400
CHN,1989,98000
CHN,1988,126700
CHN,1987,86700
CHN,1986,94800
CHN,1985,71100
CHN,1984,30900
CHN,1983,63700
CHN,1982,81100
CHN,1981,47600
CHN,1980,45900
CHN,1979,45500
CHN,1978,43500
CHN,1977,30800
CHN,1976,29700
CHN,1975,18900
CHN,1974,24600
CHN,1973,26100
CHN,1972,66300
CHN,1971,64300
CHN,1970,42500
CHN,1969,28200
CHN,1968,18300
CHN,1967,21000
CHN,1966,21800
CHN,1965,18700
CHN,1964,17400
CHN,1963,14300
CHN,1962,9700
CHN,1961,5100
CHN,2020,21889
CHN,2019,19214
CHN,2018,2235
CHN,2017,3852
CHN,2016,703
CHN,2015,814
CHN,2014,467
CHN,2013,3171
CHN,2012,794
CHN,2011,170
CHN,2010,298
CHN,2009,6470
CHN,2008,388
CHN,2007,608
CHN,2006,2314
CHN,2005,1361
CHN,2004,1048
CHN,2003,1704
CHN,2002,984
CHN,2001,6087
CHN,2000,12920
CHN,1999,7649
CHN,1998,5400
CHN,1997,2600
CHN,1996,6000
CHN,1995,3500
CHN,1994,2100
CHN,1993,6326
CHN,1992,3478
CHN,1991,15400
CHN,1990,9100
CHN,1989,7400
CHN,1988,20900
CHN,1987,6000
CHN,1986,2800
CHN,1985,3000
CHN,1984,500
CHN,2020,0
CHN,2019,0
CHN,2018,0
CHN,2017,0
CHN,2016,0
CHN,2015,0
CHN,2014,0
CHN,2013,0
CHN,2012,0
CHN,2011,0
CHN,2010,0
CHN,2009,0
CHN,2008,0
CHN,2007,0
CHN,2006,0
CHN,2005,0
CHN,2004,0
CHN,2003,15
CHN,2002,0
CHN,2001,0
CHN,2000,0
CHN,1999,0
CHN,1998,0
CHN,1997,8
COL,2020,4867
COL,2019,448
COL,2018,1706
COL,2017,1342
COL,2016,1250
COL,2015,1031
COL,2014,1959
COL,2013,632
COL,2012,353
COL,2011,456
COL,2010,683
COL,2009,106
COL,2008,598
COL,2007,598
COL,2006,598
COL,2005,732
COL,2004,732
COL,2003,1974
COL,2002,700
COL,2001,700
COL,2000,1300
COL,1999,600
COL,1998,900
COL,1997,0
COL,1996,0
COL,1995,0
COL,1994,0
COL,1993,23
COM,2020,0
COM,2019,0
COM,2018,0
COM,2017,0
COM,2016,0
COM,2015,0
COM,2014,0
COM,2013,0
COM,2012,0
COM,2011,0
COM,2010,0
COM,2009,0
COM,2008,0
COM,2007,0
COM,2006,0
COM,2005,0
COM,2004,0
COM,2003,0
COM,2002,0
COM,2001,0
COM,2000,0
COM,1999,0
COM,1998,0
COM,1997,0
COM,1996,0
COM,1995,0
COM,1994,0
COG,2020,1
COG,2019,1
COG,2018,497
COG,2017,497
COG,2016,0
COG,2015,0
COG,2014,0
COG,2013,0
COG,2012,0
COG,2011,0
COG,2010,0
COG,2009,0
COG,2008,0
COG,2007,0
COG,2006,0
