country_code,year,paper_pulp_prod_tonnes
CHL,1964,172500
CHL,1963,151600
CHL,1962,146100
CHL,1961,145000
CHN,2020,18275201
CHN,2019,18927201
CHN,2018,17946201
CHN,2017,16744201
CHN,2016,16334201
CHN,2015,16833201
CHN,2014,17543201
CHN,2013,17470201
CHN,2012,19212201
CHN,2011,21102201
CHN,2010,20420201
CHN,2009,17628201
CHN,2008,20058201
CHN,2007,19442201
CHN,2006,18529201
CHN,2005,16678201
CHN,2004,15865201
CHN,2003,15765201
CHN,2002,15165201
CHN,2001,13865201
CHN,2000,14855459
CHN,1999,16778393
CHN,1998,17739017
CHN,1997,17716457
CHN,1996,13816135
CHN,1995,24124617
CHN,1994,19466856
CHN,1993,16947353
CHN,1992,14884876
CHN,1991,13694345
CHN,1990,13325000
CHN,1989,13252000
CHN,1988,13727000
CHN,1987,12522000
CHN,1986,9694000
CHN,1985,8796000
CHN,1984,5821000
CHN,1983,5263000
CHN,1982,4796000
CHN,1981,4846000
CHN,1980,4809000
CHN,1979,4581000
CHN,1978,4181000
CHN,1977,3586000
CHN,1976,3239000
CHN,1975,3213000
CHN,1974,2921000
CHN,1973,2925000
CHN,1972,2910000
CHN,1971,3247000
CHN,1970,3430000
CHN,1969,3262200
CHN,1968,3100300
CHN,1967,2977900
CHN,1966,2858000
CHN,1965,2754000
CHN,1964,2643300
CHN,1963,2580200
CHN,1962,2470500
CHN,1961,2354500
COL,2020,419000
COL,2019,431868
COL,2018,436898
COL,2017,422093
COL,2016,429465
COL,2015,431080
COL,2014,426282
COL,2013,412534
COL,2012,440138
COL,2011,389013
COL,2010,393481
COL,2009,374200
COL,2008,360143
COL,2007,380000
COL,2006,387000
COL,2005,385000
COL,2004,381000
COL,2003,379000
COL,2002,358000
COL,2001,346000
COL,2000,362000
COL,1999,333000
COL,1998,313000
COL,1997,317000
COL,1996,307000
COL,1995,313000
COL,1994,311000
COL,1993,294000
COL,1992,295000
COL,1991,270000
COL,1990,266000
COL,1989,248000
COL,1988,248000
COL,1987,246000
COL,1986,235000
COL,1985,228000
COL,1984,189000
COL,1983,189000
COL,1982,194000
COL,1981,214000
COL,1980,207000
COL,1979,201000
COL,1978,192000
COL,1977,178000
COL,1976,167000
COL,1975,136000
COL,1974,176000
COL,1973,151000
COL,1972,145000
COL,1971,120000
COL,1970,112000
COL,1969,104000
COL,1968,83000
COL,1967,70000
COL,1966,77000
COL,1965,52000
COL,1964,41000
COL,1963,39000
COL,1962,27000
COL,1961,16600
CRI,2020,171000
CRI,2019,171000
CRI,2018,171000
CRI,2017,171000
CRI,2016,173800
CRI,2015,173800
CRI,2014,177800
CRI,2013,9800
CRI,2012,9800
CRI,2011,9800
CRI,2010,9800
CRI,2009,9800
CRI,2008,9800
CRI,2007,9800
CRI,2006,9800
CRI,2005,9800
CRI,2004,9800
CRI,2003,9800
CRI,2002,9800
CRI,2001,9800
CRI,2000,9800
CRI,1999,9800
CRI,1998,9800
CRI,1997,9800
CRI,1996,9800
CRI,1995,9800
CRI,1994,9800
CRI,1993,9800
CRI,1992,9800
CRI,1991,9800
CRI,1990,11400
CRI,1989,10500
CRI,1988,14500
CRI,1987,14500
CRI,1986,9500
CRI,1985,9500
CRI,1984,10400
CRI,1983,10200
CRI,1982,2600
CRI,1981,3000
CRI,1980,4500
CRI,1979,4500
HRV,2020,45108
HRV,2019,46852
HRV,2018,38767
HRV,2017,38912
HRV,2016,33596
HRV,2015,31957
HRV,2014,32648
HRV,2013,40366
HRV,2012,73000
HRV,2011,99000
HRV,2010,97000
HRV,2009,84000
HRV,2008,96000
HRV,2007,97000
HRV,2006,107000
HRV,2005,98000
HRV,2004,109000
HRV,2003,119000
HRV,2002,122000
HRV,2001,115000
HRV,2000,127000
HRV,1999,95000
HRV,1998,95000
HRV,1997,105000
HRV,1996,129000
HRV,1995,115000
HRV,1994,127000
HRV,1993,125000
HRV,1992,126000
CUB,2020,100
CUB,2019,100
CUB,2018,100
CUB,2017,100
CUB,2016,100
CUB,2015,100
CUB,2014,100
CUB,2013,100
CUB,2012,100
CUB,2011,100
CUB,2010,100
CUB,2009,100
CUB,2008,80
CUB,2007,300
CUB,2006,500
CUB,2005,800
CUB,2004,800
CUB,2003,1500
CUB,2002,1000
CUB,2001,2000
CUB,2000,3000
CUB,1999,4000
CUB,1998,3000
CUB,1997,52000
CUB,1996,52000
CUB,1995,52000
CUB,1994,52000
CUB,1993,52000
CUB,1992,52000
CUB,1991,52000
CUB,1990,52000
CUB,1989,52000
CUB,1988,42000
CUB,1987,52000
CUB,1986,59000
CUB,1985,49000
CUB,1984,38000
CUB,1983,34000
CUB,1982,33400
CUB,1981,31600
CUB,1980,29900
CUB,1979,29500
CUB,1978,14400
CUB,1977,37500
CUB,1976,44000
CUB,1975,44000
CUB,1974,43000
CUB,1973,43000
CUB,1972,35000
CUB,1971,36000
CUB,1970,33700
CUB,1969,32500
CUB,1968,30000
CUB,1967,35000
CUB,1966,31800
CUB,1965,27500
CUB,1964,30700
CUB,1963,27500
CUB,1962,24900
CUB,1961,23000
CYP,2020,0
CYP,2019,0
CYP,2018,0
CYP,2017,0
CYP,2016,0
CYP,2015,0
CYP,2014,0
CYP,2013,0
CYP,2012,0
CYP,2011,0
CYP,2010,0
CYP,2009,0
CYP,2008,0
CYP,2007,0
CYP,2006,0
CYP,2005,0
CYP,2004,0
CYP,2003,0
CYP,2002,0
CYP,2001,0
CYP,2000,0
CYP,1999,0
CYP,1998,0
CZE,2020,1031278
CZE,2019,994585
CZE,2018,772210
CZE,2017,872668
CZE,2016,853142
